Year,Index,Lower CI,Upper CI
1970,24.13,14.77,57.90
1971,25.00,15.93,56.37
1972,30.07,20.18,61.89
1973,32.66,20.20,67.55
1974,40.46,27.10,72.22
1975,33.14,22.25,64.82
1976,23.34,15.66,47.35
1977,21.43,14.10,42.94
1978,21.55,14.12,42.52
1979,23.79,16.33,43.59
1980,20.13,13.59,40.05
1981,21.83,15.38,39.65
1982,19.55,13.39,38.39
1983,19.95,13.87,36.77
1984,16.96,11.68,33.72
1985,22.03,15.85,38.60
1986,14.96,10.12,29.14
1987,24.87,17.86,43.32
1988,28.54,20.18,54.98
1989,16.06,10.79,31.51
1990,14.72,9.88,27.13
1991,15.58,10.63,31.21
1992,21.98,15.68,40.47
1993,18.59,13.25,34.53
1994,22.38,15.96,40.38
1995,14.97,10.46,26.01
1996,13.49,9.28,24.27
1997,23.07,16.60,38.73
1998,16.54,11.55,29.09
1999,11.78,7.86,21.55
2000,11.18,7.47,21.41
2001,14.22,9.99,25.19
2002,17.17,12.43,31.16
2003,13.44,9.47,22.79
2004,9.35,6.28,18.07
2005,11.81,8.26,21.46
2006,16.56,12.13,26.67
2007,12.02,8.61,19.49
2008,9.60,6.58,17.23
2009,14.85,10.96,23.77
2010,10.36,7.28,18.02
2011,7.79,5.29,14.89
2012,21.55,15.65,33.71
2013,19.00,13.66,30.15
2014,20.46,15.63,33.80
2015,20.75,16.19,30.84
2016,16.48,12.18,25.95
2017,9.42,6.67,16.45
2018,19.56,14.91,28.17
2019,13.47,10.12,20.64
2020,12.60,9.24,19.62
2021,9.50,6.87,16.48